                  referencing                  |                      fk_col                      |             referenced              
 sys.sys_position_compensation_profiles        | updated_by                                       | sys.sys_users
 sys.sys_position_kpi_requirements             | created_by                                       | sys.sys_users
 sys.sys_position_kpi_requirements             | updated_by                                       | sys.sys_users
 sys.sys_position_learning_requirements        | created_by                                       | sys.sys_users
 sys.sys_position_learning_requirements        | updated_by                                       | sys.sys_users
 sys.sys_position_skill_requirement_history    | position_skill_requirement_history_actor_user_id | sys.sys_users
 sys.sys_position_skill_requirements           | created_by                                       | sys.sys_users
 sys.sys_position_skill_requirements           | updated_by                                       | sys.sys_users
 sys.sys_position_succession_relevance         | created_by                                       | sys.sys_users
 sys.sys_position_succession_relevance         | updated_by                                       | sys.sys_users
 sys.sys_positions                             | created_by                                       | sys.sys_users
 sys.sys_positions                             | position_owner_user_id                           | sys.sys_users
 sys.sys_positions                             | updated_by                                       | sys.sys_users
 sys.sys_process_participants                  | process_participant_user_id                      | sys.sys_users
 sys.sys_pulse_checks                          | pulse_check_subject_user_id                      | sys.sys_users
 sys.sys_readiness_scores                      | readiness_score_user_id                          | sys.sys_users
 sys.sys_reconciliation_registry               | created_by                                       | sys.sys_users
 sys.sys_reconciliation_registry               | updated_by                                       | sys.sys_users
 sys.sys_reward_gate_results                   | reward_gate_result_evaluator_user_id             | sys.sys_users
 sys.sys_reward_gates                          | reward_gate_user_id                              | sys.sys_users
 sys.sys_seed_acquisition_runs                 | created_by                                       | sys.sys_users
 sys.sys_seed_acquisition_runs                 | updated_by                                       | sys.sys_users
 sys.sys_seed_approval_decisions               | seed_approval_decision_approver_user_id          | sys.sys_users
 sys.sys_skill_gap_scores                      | skill_gap_score_user_id                          | sys.sys_users
 sys.sys_skills                                | created_by                                       | sys.sys_users
 sys.sys_skills                                | updated_by                                       | sys.sys_users
 sys.sys_succession_pools                      | created_by                                       | sys.sys_users
 sys.sys_succession_pools                      | updated_by                                       | sys.sys_users
 sys.sys_succession_readiness_scores           | succession_readiness_score_user_id               | sys.sys_users
 sys.sys_succession_scores                     | succession_score_user_id                         | sys.sys_users
 sys.sys_successor_candidates                  | successor_candidate_user_id                      | sys.sys_users
 sys.sys_survey_assignments                    | survey_assignment_user_id                        | sys.sys_users
 sys.sys_survey_responses                      | survey_response_subject_user_id                  | sys.sys_users
 sys.sys_talent_scores                         | talent_score_user_id                             | sys.sys_users
 sys.sys_team_members                          | created_by                                       | sys.sys_users
 sys.sys_team_members                          | team_member_user_id                              | sys.sys_users
 sys.sys_team_members                          | updated_by                                       | sys.sys_users
 sys.sys_teams                                 | created_by                                       | sys.sys_users
 sys.sys_teams                                 | team_lead_user_id                                | sys.sys_users
 sys.sys_teams                                 | updated_by                                       | sys.sys_users
 sys.sys_time_off_balances                     | balance_subject_user_id                          | sys.sys_users
 sys.sys_time_off_requests                     | request_approver_user_id                         | sys.sys_users
 sys.sys_time_off_requests                     | request_cancelled_by_user_id                     | sys.sys_users
 sys.sys_time_off_requests                     | request_subject_user_id                          | sys.sys_users
 sys.sys_training_initiatives                  | created_by                                       | sys.sys_users
 sys.sys_training_initiatives                  | training_initiative_facilitator_user_id          | sys.sys_users
 sys.sys_training_initiatives                  | updated_by                                       | sys.sys_users
 sys.sys_user_addresses                        | created_by                                       | sys.sys_users
 sys.sys_user_addresses                        | updated_by                                       | sys.sys_users
 sys.sys_user_addresses                        | user_address_user_id                             | sys.sys_users
 sys.sys_user_assessment_evidence              | created_by                                       | sys.sys_users
 sys.sys_user_assessment_evidence              | updated_by                                       | sys.sys_users
 sys.sys_user_assessment_evidence              | user_assessment_evidence_assessor_user_id        | sys.sys_users
 sys.sys_user_assessment_evidence              | user_assessment_evidence_user_id                 | sys.sys_users
 sys.sys_user_auth_roles                       | user_auth_role_granted_by                        | sys.sys_users
 sys.sys_user_auth_roles                       | user_auth_role_user_id                           | sys.sys_users
 sys.sys_user_bank_details                     | created_by                                       | sys.sys_users
 sys.sys_user_bank_details                     | updated_by                                       | sys.sys_users
 sys.sys_user_bank_details                     | user_bank_user_id                                | sys.sys_users
 sys.sys_user_career_plans                     | created_by                                       | sys.sys_users
 sys.sys_user_career_plans                     | updated_by                                       | sys.sys_users
 sys.sys_user_career_plans                     | user_career_plan_user_id                         | sys.sys_users
 sys.sys_user_certifications                   | created_by                                       | sys.sys_users
 sys.sys_user_certifications                   | updated_by                                       | sys.sys_users
 sys.sys_user_certifications                   | user_certification_user_id                       | sys.sys_users
 sys.sys_user_consents                         | consent_user_id                                  | sys.sys_users
 sys.sys_user_contracts                        | created_by                                       | sys.sys_users
 sys.sys_user_contracts                        | updated_by                                       | sys.sys_users
 sys.sys_user_contracts                        | user_contract_user_id                            | sys.sys_users
 sys.sys_user_demographics                     | created_by                                       | sys.sys_users
 sys.sys_user_demographics                     | updated_by                                       | sys.sys_users
 sys.sys_user_demographics                     | user_demographics_user_id                        | sys.sys_users
 sys.sys_user_documents                        | created_by                                       | sys.sys_users
 sys.sys_user_documents                        | updated_by                                       | sys.sys_users
 sys.sys_user_documents                        | user_document_user_id                            | sys.sys_users
 sys.sys_user_education_records                | created_by                                       | sys.sys_users
 sys.sys_user_education_records                | updated_by                                       | sys.sys_users
 sys.sys_user_education_records                | user_education_record_user_id                    | sys.sys_users
 sys.sys_user_employment                       | created_by                                       | sys.sys_users
 sys.sys_user_employment                       | updated_by                                       | sys.sys_users
 sys.sys_user_employment                       | user_employment_user_id                          | sys.sys_users
 sys.sys_user_family_members                   | created_by                                       | sys.sys_users
 sys.sys_user_family_members                   | updated_by                                       | sys.sys_users
 sys.sys_user_family_members                   | user_family_member_user_id                       | sys.sys_users
 sys.sys_user_identity_documents               | created_by                                       | sys.sys_users
 sys.sys_user_identity_documents               | updated_by                                       | sys.sys_users
 sys.sys_user_identity_documents               | user_identity_document_user_id                   | sys.sys_users
 sys.sys_user_kpi_evidence                     | created_by                                       | sys.sys_users
 sys.sys_user_kpi_evidence                     | updated_by                                       | sys.sys_users
 sys.sys_user_kpi_evidence                     | user_kpi_evidence_user_id                        | sys.sys_users
 sys.sys_user_learning_assignments             | user_learning_assignment_assigned_by             | sys.sys_users
 sys.sys_user_learning_assignments             | user_learning_assignment_user_id                 | sys.sys_users
 sys.sys_user_learning_evidence                | created_by                                       | sys.sys_users
 sys.sys_user_learning_evidence                | updated_by                                       | sys.sys_users
 sys.sys_user_learning_evidence                | user_learning_evidence_user_id                   | sys.sys_users
 sys.sys_user_pay_slips                        | created_by                                       | sys.sys_users
 sys.sys_user_pay_slips                        | updated_by                                       | sys.sys_users
 sys.sys_user_pay_slips                        | user_pay_slip_user_id                            | sys.sys_users
 sys.sys_user_position_assignments             | created_by                                       | sys.sys_users
 sys.sys_user_position_assignments             | updated_by                                       | sys.sys_users
 sys.sys_user_position_assignments             | user_position_assignment_user_id                 | sys.sys_users
 sys.sys_user_preferences                      | created_by                                       | sys.sys_users
 sys.sys_user_preferences                      | updated_by                                       | sys.sys_users
 sys.sys_user_preferences                      | user_preference_user_id                          | sys.sys_users
 sys.sys_user_professional_experiences         | created_by                                       | sys.sys_users
 sys.sys_user_professional_experiences         | updated_by                                       | sys.sys_users
 sys.sys_user_professional_experiences         | user_prof_exp_user_id                            | sys.sys_users
 sys.sys_user_profile_embeddings               | user_id                                          | sys.sys_users
 sys.sys_user_profiles                         | created_by                                       | sys.sys_users
 sys.sys_user_profiles                         | updated_by                                       | sys.sys_users
 sys.sys_user_profiles                         | user_profile_user_id                             | sys.sys_users
 sys.sys_user_skill_evidence                   | created_by                                       | sys.sys_users
 sys.sys_user_skill_evidence                   | updated_by                                       | sys.sys_users
 sys.sys_user_skill_evidence                   | user_skill_evidence_assessor_user_id             | sys.sys_users
 sys.sys_user_skill_evidence                   | user_skill_evidence_user_id                      | sys.sys_users
 sys.sys_user_skills                           | user_skill_user_id                               | sys.sys_users
 sys.sys_user_skills                           | user_skill_verified_by_user_id                   | sys.sys_users
 sys.sys_user_target_positions                 | created_by                                       | sys.sys_users
 sys.sys_user_target_positions                 | updated_by                                       | sys.sys_users
 sys.sys_user_target_positions                 | user_target_position_reviewer_user_id            | sys.sys_users
 sys.sys_user_target_positions                 | user_target_position_user_id                     | sys.sys_users
 sys.sys_variable_pay_calculations             | variable_pay_calculation_user_id                 | sys.sys_users
 sys.sys_visualization_graphs                  | created_by                                       | sys.sys_users
 sys.sys_visualization_graphs                  | updated_by                                       | sys.sys_users
 sys.sys_whistleblowing_reports                | whistleblowing_report_assignee_user_id           | sys.sys_users
 sys.sys_visualization_edges                   | edge_graph_id                                    | sys.sys_visualization_graphs
 sys.sys_visualization_exports                 | export_graph_id                                  | sys.sys_visualization_graphs
 sys.sys_visualization_layouts                 | layout_graph_id                                  | sys.sys_visualization_graphs
 sys.sys_visualization_nodes                   | node_graph_id                                    | sys.sys_visualization_graphs
 sys.sys_visualization_styles                  | style_graph_id                                   | sys.sys_visualization_graphs
 sys.sys_visualization_exports                 | export_layout_id                                 | sys.sys_visualization_layouts
 sys.sys_visualization_node_layouts            | layout_id                                        | sys.sys_visualization_layouts
 sys.sys_visualization_edges                   | edge_source_node_id                              | sys.sys_visualization_nodes
 sys.sys_visualization_edges                   | edge_target_node_id                              | sys.sys_visualization_nodes
 sys.sys_visualization_node_layouts            | node_id                                          | sys.sys_visualization_nodes
(566 rows)

