entity_table,entity_ref,field,locale,text,source
sys_occupation_classifications,ISCO_08:216,name,en,"Architects, Planners, Surveyors and Designers",HARVEST
sys_occupation_classifications,ISCO_08:2161,name,en,Building Architects,HARVEST
sys_occupation_classifications,ISCO_08:2162,name,en,Landscape Architects,HARVEST
sys_occupation_classifications,ISCO_08:2163,name,en,Product and Garment Designers,HARVEST
sys_occupation_classifications,ISCO_08:2164,name,en,Town and Traffic Planners,HARVEST
sys_occupation_classifications,ISCO_08:2165,name,en,Cartographers and Surveyors,HARVEST
sys_occupation_classifications,ISCO_08:2166,name,en,Graphic and Multimedia Designers,HARVEST
sys_occupation_classifications,ISCO_08:22,name,en,Health Professionals,HARVEST
sys_occupation_classifications,ISCO_08:221,name,en,Medical Doctors,HARVEST
sys_occupation_classifications,ISCO_08:2211,name,en,Generalist Medical Practitioners,HARVEST
sys_occupation_classifications,ISCO_08:2212,name,en,Specialist Medical Practitioners,HARVEST
sys_occupation_classifications,ISCO_08:222,name,en,Nursing and Midwifery Professionals,HARVEST
sys_occupation_classifications,ISCO_08:2221,name,en,Nursing Professionals,HARVEST
sys_occupation_classifications,ISCO_08:2222,name,en,Midwifery Professionals,HARVEST
sys_occupation_classifications,ISCO_08:223,name,en,Traditional and Complementary Medicine Professionals,HARVEST
sys_occupation_classifications,ISCO_08:2230,name,en,Traditional and Complementary Medicine Professionals,HARVEST
sys_occupation_classifications,ISCO_08:224,name,en,Paramedical Practitioners,HARVEST
sys_occupation_classifications,ISCO_08:2240,name,en,Paramedical Practitioners,HARVEST
sys_occupation_classifications,ISCO_08:225,name,en,Veterinarians,HARVEST
sys_occupation_classifications,ISCO_08:2250,name,en,Veterinarians,HARVEST
sys_occupation_classifications,ISCO_08:226,name,en,Other Health Professionals,HARVEST
sys_occupation_classifications,ISCO_08:2261,name,en,Dentists,HARVEST
sys_occupation_classifications,ISCO_08:2262,name,en,Pharmacists,HARVEST
sys_occupation_classifications,ISCO_08:2263,name,en,Environmental and Occupational Health and Hygiene Professionals,HARVEST
sys_occupation_classifications,ISCO_08:2264,name,en,Physiotherapists,HARVEST
sys_occupation_classifications,ISCO_08:2265,name,en,Dieticians and Nutritionists,HARVEST
sys_occupation_classifications,ISCO_08:2266,name,en,Audiologists and Speech Therapists,HARVEST
sys_occupation_classifications,ISCO_08:2267,name,en,Optometrists and Ophthalmic Opticians,HARVEST
sys_occupation_classifications,ISCO_08:2269,name,en,Health Professionals Not Elsewhere Classified,HARVEST
sys_occupation_classifications,ISCO_08:23,name,en,Teaching Professionals,HARVEST
sys_occupation_classifications,ISCO_08:231,name,en,University and Higher Education Teachers,HARVEST
sys_occupation_classifications,ISCO_08:2310,name,en,University and Higher Education Teachers,HARVEST
sys_occupation_classifications,ISCO_08:232,name,en,Vocational education teachers,HARVEST
sys_occupation_classifications,ISCO_08:2320,name,en,Vocational Education Teachers,HARVEST
sys_occupation_classifications,ISCO_08:233,name,en,Secondary Education Teachers,HARVEST
sys_occupation_classifications,ISCO_08:2330,name,en,Secondary Education Teachers,HARVEST
sys_occupation_classifications,ISCO_08:234,name,en,Primary School and Early Childhood Teachers,HARVEST
sys_occupation_classifications,ISCO_08:2341,name,en,Primary School Teachers,HARVEST
sys_occupation_classifications,ISCO_08:2342,name,en,Early Childhood Educators,HARVEST
sys_occupation_classifications,ISCO_08:235,name,en,Other Teaching Professionals,HARVEST
sys_occupation_classifications,ISCO_08:2351,name,en,Education Methods Specialists,HARVEST
sys_occupation_classifications,ISCO_08:2352,name,en,Special Needs Teachers,HARVEST
sys_occupation_classifications,ISCO_08:2353,name,en,Other Language Teachers,HARVEST
sys_occupation_classifications,ISCO_08:2354,name,en,Other Music Teachers,HARVEST
sys_occupation_classifications,ISCO_08:2355,name,en,Other Arts Teachers,HARVEST
sys_occupation_classifications,ISCO_08:2356,name,en,Information Technology Trainers,HARVEST
sys_occupation_classifications,ISCO_08:2359,name,en,Teaching Professionals Not Elsewhere Classified,HARVEST
sys_occupation_classifications,ISCO_08:24,name,en,Business and Administration Professionals,HARVEST
sys_occupation_classifications,ISCO_08:241,name,en,Finance Professionals,HARVEST
sys_occupation_classifications,ISCO_08:2411,name,en,Accountants,HARVEST
sys_occupation_classifications,ISCO_08:2412,name,en,Financial and Investment Advisers,HARVEST
