scheme,code,parent_code,level,name
ISCO_08,23,2,2,Specialisti dell’educazione
ISCO_08,231,23,3,Docenti universitari e professori dell’insegnamento superiore
ISCO_08,2310,231,4,Docenti universitari e professori dell’insegnamento superiore
ISCO_08,232,23,3,Professori dell’educazione professionale
ISCO_08,2320,232,4,Professori dell’educazione professionale
ISCO_08,233,23,3,Professori di scuola secondaria
ISCO_08,2330,233,4,Professori di scuola secondaria
ISCO_08,234,23,3,Professori di scuola primaria e pre-primaria
ISCO_08,2341,234,4,Professori di scuola primaria
ISCO_08,2342,234,4,Professori di scuola pre-primaria
ISCO_08,235,23,3,Altri specialisti dell’educazione
ISCO_08,2351,235,4,Specialisti dei metodi di insegnamento
ISCO_08,2352,235,4,Professori per l’insegnamento ad alunni con esigenze speciali
ISCO_08,2353,235,4,Altri professori di lingue
ISCO_08,2354,235,4,Altri professori di educazione musicale
ISCO_08,2355,235,4,Altri professori di educazione artistica
ISCO_08,2356,235,4,Formatori in tecnologie dell’informazione
ISCO_08,2359,235,4,Specialisti dell’educazione non classificati altrove
ISCO_08,24,2,2,Specialisti delle scienze commerciali e dell’amministrazione
ISCO_08,241,24,3,Specialisti finanziari
ISCO_08,2411,241,4,Contabili
ISCO_08,2412,241,4,Consulenti finanziari e per gli investimenti
ISCO_08,2413,241,4,Analisti finanziari
ISCO_08,242,24,3,Specialisti dell’amministrazione
ISCO_08,2421,242,4,Analisti della gestione e organizzazione
ISCO_08,2422,242,4,Specialisti delle politiche di amministrazione
ISCO_08,2423,242,4,Specialisti di personale e sviluppo di carriera
ISCO_08,2424,242,4,Specialisti della formazione e dello sviluppo delle risorse umane
ISCO_08,243,24,3,"Specialisti delle vendite, del marketing e delle pubbliche relazioni"
ISCO_08,2431,243,4,Specialisti della pubblicità e del marketing
ISCO_08,2432,243,4,Specialisti delle pubbliche relazioni
ISCO_08,2433,243,4,Informatori tecnici e scientifici (ad eccezione del settore ICT)
ISCO_08,2434,243,4,Specialisti delle vendite nel settore delle tecnologie dell’informazione e della comunicazione
ISCO_08,25,2,2,Specialisti delle tecnologie dell’informazione e della comunicazione
ISCO_08,251,25,3,Sviluppatori e analisti di software e applicazioni
ISCO_08,2511,251,4,Analisti di sistema
ISCO_08,2512,251,4,Sviluppatori di software
ISCO_08,2513,251,4,Sviluppatori Web e multimediali
ISCO_08,2514,251,4,Programmatori di applicazioni
ISCO_08,2519,251,4,Sviluppatori e analisti di software e applicazioni non classificati altrove
ISCO_08,252,25,3,Specialisti in basi dati e in reti informatiche
ISCO_08,2521,252,4,Specialisti nella progettazione e amministrazione delle basi dati
ISCO_08,2522,252,4,Amministratori di sistema
ISCO_08,2523,252,4,Specialisti in reti informatiche
ISCO_08,2529,252,4,Specialisti in basi dati e in reti informatiche non classificati altrove
ISCO_08,26,2,2,"Specialisti in scienze giuridiche, sociali e culturali"
ISCO_08,261,26,3,Specialisti in scienze giuridiche
ISCO_08,2611,261,4,Avvocati
ISCO_08,2612,261,4,Magistrati
ISCO_08,2619,261,4,Specialisti in scienze giuridiche non classificati altrove
ISCO_08,262,26,3,"Bibliotecari, archivisti e curatori di musei"
ISCO_08,2621,262,4,Archivisti e curatori di musei
ISCO_08,2622,262,4,"Bibliotecari, documentalisti ed assimilati"
ISCO_08,263,26,3,Specialisti in scienze sociali e in discipline religiose
ISCO_08,2631,263,4,Economisti
ISCO_08,2632,263,4,"Sociologi, antropologi ed assimilati"
ISCO_08,2633,263,4,"Filosofi, storici e specialisti in scienze politiche"
ISCO_08,2634,263,4,Psicologi
ISCO_08,2635,263,4,Specialisti nell’assistenza sociale e nell’orientamento
